순대,떡볶이,어묵,튀김,커피,차차,과일,아이스,빠앙,쿠키,샌드위치,마카롱
순/대/의/ /간/이/ /적/당/한/ /거/ /같/아,쌀/ /떡/볶/이/랑/ /밀/ /떡/볶/이/ /둘/ /다/ /좋/아,국/물/이/ /따/뜻/해/서/ /좋/아,간/장/에/ /찍/어/ /먹/으/니/ /맛/있/는/ /거/ /같/아,따/뜻/한/ /아/메/리/카/노/에/서/ /커/피/ /향/이/ /더/ /진/하/게/ /느/껴/져,녹/차/가/ /진/하/게/ /우/려/진/ /거/ /같/아,딸/기/의/ /달/콤/하/고/ /상/큼/함/이/ /느/껴/져,요/거/트/ /맛/은/ /단/것/ /같/으/면/서/도/ /신/맛/이/ /느/껴/져,팥/앙/금/이/ /달/달/해/서/ /좋/아,초/콜/릿/ /칩/이/ /많/이/ /박/혀/있/어/서/ /좋/아,닭/가/슴/살/ /샌/드/위/치/는/ /포/만/감/에/ /좋/은/ /거/ /같/아,겉/ /부/분/ /바/삭/하/고/ /안/은/ /촉/촉/한/ /느/낌/이/야
허/파/랑/ /간/도/ /맛/있/어,적/당/히/ /매/워/서/ /맛/있/는/ /거/ /같/아,어/묵/에/ /간/장/을/ /찍/어/ /먹/으/니/ /더/ /맛/있/는/ /거/ /같/아,떡/볶/이/ /국/물/에/ /찍/어/ /먹/으/니/ /맛/있/는/ /거/ /같/아,바/닐/라/ /시/럽/을/ /추/가/해/서/ /마/시/니/까/ /달/달/해/서/ 좋/아,따/뜻/한/ /홍/차/를/ /마/시/니/ /좋/네,시/원/해/서/ /좋/아/./ /건/강/해/지/는/ /기/분/이/야,초/콜/릿/의/ /달/달/함/이/ /느/껴/져/./ /정/말/ /맛/있/어,상/큼/한/ /딸/기/ /크/림/의/ /맛/이/ /느/껴/져,일/반/ /초/코/쿠/키/와/ /다/르/게/ /화/이/트/ /초/콜/릿/ /칩/이/ /박/혀/있/어,베/이/컨/의/ /짭/조/름/함/이/ /느/껴/져,맛/있/지/만/ /정/말/ /달/아
소/금/에/ /찍/어/ /먹/어/도/ /좋/고/ /떡/볶/이/ /국/물/에/ /찍/어/ /먹/어/도/ /좋/아,(/맛/있/게/ /먹/고/ /있/다/),다/양/한/ /모/양/의/ /어/묵/이/ /있/어,그/냥/ /먹/어/도/ /맛/있/는/ /거/ /같/아,헤/이/즐/넛/ /향/이/ /은/은/하/게/ /느/껴/져,차/를/ /마/시/면/ /몸/이/ /편/해/지/는/ /기/분/이/야,오/렌/지/가/ /너/무/ /신/ /거/ /같/아/./ /침/이/ /고/이/네,딸/기/랑/ /초/콜/릿/의/ /궁/합/은/ /정/말/ /잘/ /맞/는/ /거/ /같/아,부/드/러/운/ /슈/크/림/이/ /들/어/있/어/./ /정/말/ /부/드/러/워,건/포/도/의/ /씹/히/는/ /맛/이/ /좋/은/ /거/ /같/아,슬/라/이/드/ /치/즈/가/ /짜/면/서/도/ /고/소/해,초/코/맛/이/라/서/ /더/ /단/ /거/ /같/아
저/번/에/ /손/이/ /미/끄/러/져/서/ /소/금/ /범/벅/이/ /된/ /적/이/ /있/었/어/ /././정/말/ /짰/어,떡/볶/이/ /국/물/이/ /생/각/보/다/ /맵/지/만/ /맛/있/어,(/급/히/ /먹/다/ /혀/에/ /데/인/ /것/ /같/다/./ /아/무/렇/지/ /않/은/ /척/을/ /하/고/ /있/다/),바/삭/한/ /식/감/이/ /살/아/있/어,라/떼/를/ /마/시/니/까/ /커/피/가/ /더/ /부/드/러/운/ /거/ /같/아,고/소/한/ /율/무/차/의/ /맛/이/ /느/껴/져,바/나/나/로/ /마/시/니/까/ /포/만/감/이/ /더/ /느/껴/지/는/ /거/ /같/아,여/름/에/ /먹/는/ /간/식/을/ /생/각/하/면/ /당/연/히/ /아/이/스/크/림/이/ /떠/올/라,달/콤/한/ /초/코/ /크/림/이/ /들/어/있/어/./ /역/시/ /단/ /것/은/ /맛/있/어,고/소/한/ /오/트/밀/ /맛/이/ /느/껴/져,햄/이/랑/ /치/즈/랑/ /같/이/ /있/으/니/까/ /더/ /맛/있/는/ /거/ /같/아,딸/기/라/서/ /상/큼/할/ /줄/ /알/았/는/데/ /적/당/히/ /달/콤/해
간/을/ /계/속/ /먹/으/니/ /퍽/퍽/한/ /거/ /같/아,(/우/물/우/물/),앗/ /뜨/거/워/ /././조/심/해/서/ /먹/어/야/겠/어,(/입/안/에/서/ /바/삭/거/리/는/ /소/리/가/ /난/다/),많/이/ /마/시/면/ /밤/에/ /못/ /자/니/까/ /적/당/히/ /마/셔/야/ /해,레/몬/차/는/ /감/기/에/ /좋/다/고/ /해,키/위/는/ /신/맛/도/ /있/고/ /단/맛/도/ /있/어/./ /이/번/ /거/는/ /신/맛/이/ /강/해,이/가/ /시/려/서/ /머/리/가/ /아/플/ /수/ /있/어,땅/콩/ /크/림/이/ /고/소/해/서/ /빵/이/ /더/ /맛/있/는/ /거/ /같/아,상/큼/한/ /크/랜/베/리/의/ /맛/이/ /좋/네,채/소/가/ /너/무/ /많/이/ /들/어/간/ /거/ /같/은/데/ /././음,부/드/러/운/ /바/닐/라/의/ /향/과/ /맛/이/ /느/껴/져
역/시/ /순/대/는/ /따/뜻/할/ /때/ /먹/어/야/ /좋/아,././뜨/거/워/서/ /더/ /매/운/ /거/ /같/아,비/ /오/는/ /날/에/ /어/묵/ /국/물/을/ /마/시/니/ /좋/네,고/구/마/튀/김/도/ /좋/지/만/ /새/우/튀/김/도/ /맛/있/어,마/침/ /목/이/ /말/랐/는/데/ /시/원/하/니/까/ /갈/증/이/ /해/소/되/네,메/밀/차/의/ /구/수/한/ /맛/이/ /잘/ /느/껴/지/는/ /거/ /같/아,키/위/는/ /신/맛/도/ /있/고/ /단/맛/도/ /있/어/./ /이/번/ /거/는/ /단/맛/이/ /강/하/네,바/닐/라/ /맛/은/ /부/드/럽/게/ /먹/을/ /수/ /있/어/서/ /좋/아,(/우/물/우/물/),견/과/류/가/ /박/혀/ /있/으/니/ /더/ /고/소/한/ /거/ /같/아,(/우/물/우/물/),커/피/ /맛/이/ /진/해/서/ /커/피/를/ /마/시/는/ /기/분/이/야
(/우/물/우/물/),어/릴/ /때/ /학/교/ /앞/에/서/ /컵/으/로/ /사/서/ /먹/었/었/지,어/묵/ /모/양/이/ /다/양/하/구/나,오/징/어/ /튀/김/은/ /먹/으/면/ /자/꾸/ /오/징/어/만/ /쏙/ /빠/져,휘/핑/크/림/이/ /그/새/ /녹/았/어,보/리/가/ /잘/ /볶/아/진/ /거/ /같/아/./ /보/리/차/ /향/이/ /좋/네,건/강/을/ /위/해/ /토/마/토/ /주/스/를/ /시/켰/어/./ /생/각/보/다/ /맛/있/네,아/이/스/크/림/ /안/에/ /과/일/이/ /박/혀/있/어,상/큼/하/고/ /달/콤/한/ /블/루/베/리/ /잼/이/ /들/어/있/어,버/터/ /쿠/키/는/ /부/드/러/워/서/ /먹/기/ /좋/아,아/침/에/ /밥/ /대/신/으/로/ /먹/기/에/ /좋/아,레/몬/의/ /노/란/색/이/ /잘/ /어/울/리/네
양/이/ /적/당/한/ /거/ /같/아/./ /더/ /먹/으/면/ /배/부/르/겠/어/./.,생/각/보/다/ /뜨/거/우/니/까/ /조/심/해/서/ /먹/어/야/겠/어,간/장/에/ /빠/뜨/리/지/ /않/게/ /조/심/해/야/겠/어,튀/김/이/ /뾰/족/해/서/ /씹/기/ /힘/들/ /때/가/ /있/어,커/피/ /향/은/ /언/제/ /맡/아/도/ /좋/은/ /거/ /같/아,(/후/후/ /불/며/ /마/시/고/ /있/다/),채/소/ /주/스/는/ /맛/이/ /있/는/ /편/은/ /아/니/지/만/ /건/강/에/ /좋/아,시/원/하/고/ /달/콤/해/서/ /정/말/ /좋/아,새/하/얀/ /생/크/림/이/ /들/어/있/네/./ /부/드/럽/고/ /맛/있/어,(/오/도/독/ /쿠/키/ /먹/는/ /소/리/가/ /난/다/),계/란/ /샌/드/위/치/에/ /채/소/가/ /잘/게/ /썰/려/ /들/어/가/서/ /먹/기/ /편/한/ /거/ /같/아,달/콤/한/ /향/이/ /느/껴/져
염/통/이/ /쫄/깃/해/서/ /좋/은/ /거/ /같/아,국/물/이/ /장/화/에/ /떨/어/지/지/ /않/게/ /조/심/해/야/겠/어,추/울/ /때/ /먹/으/면/ /좋/지,바/삭/거/리/니/까/ /과/자/를/ /씹/는/ /기/분/이/야,마/시/다/가/ /너/무/ /써/서/ /시/럽/을/ /탔/어/./ /좀/ /나/아/진/ /거/ /같/네,차/는/ /역/시/ /따/뜻/해/야/ /좋/은/ /거/ /같/아,딸/기/랑/ /바/나/나/가/ /섞/이/니/까/ /더/ /맛/있/어,커/피/ /대/신/ /커/피/ /맛/ /아/이/스/크/림/을/ /먹/는/ /것/도/ /좋/지,소/보/루/ /빵/은/ /겉/이/ /과/자/처/럼/ /바/삭/해/서/ /좋/아,딱/딱/해/도/ /씹/는/ /맛/이/ /있/어,토/스/트/로/ /한/ /번/ /구/워/서/ /먹/는/ /것/도/ /좋/지,(/우/물/우/물/)
비/ /오/는/ /날/ /순/대/를/ /먹/으/니/ /더/ /좋/네,떡/이/ /쫄/깃/해/서/ /더/ /맛/있/어,(/우/물/우/물/),고/구/마/튀/김/은/ /간/장/에/ /안/ /찍/어/ /먹/어/도/ /맛/있/지,시/럽/을/ /너/무/ /많/이/ /넣/으/면/ /그/만/큼/ /달/아/져/서/ /커/피/의/ /맛/이/ /느/껴/지/지/ /않/아,././마/시/다/가/ /혀/를/ /데/였/어,무/엇/을/ /마/실/지/ /모/를/ /때/는/ /혼/합/된/ /것/이/ /좋/지/./ /비/타/민/이/ /가/득/ /한/ /거/ /같/아,(/아/이/스/크/림/이/ /녹/고/ /있/다/),메/론/빵/의/ /속/은/ /촉/촉/한/데/ /겉/은/ /바/삭/하/네,방/금/ /구/운/ /쿠/키/라/서/ /그/런/지/ /안/이/ /촉/촉/하/네,빵/에/ /버/터/의/ /향/이/ /느/껴/지/는/ /거/ /같/아/서/ /좋/아,생/각/보/다/ /비/싸/지/만/ /그/만/큼/ /맛/있/는/ /거/ /같/아
